genus_species,FAMILY.,GENUS.,SPECIES.,Shade_LaminaTough,Shade_VeinTough,Sun_LaminaTough,Sun_VeinTough,SEED_DRY,LEAFTHCK_AVI,LEAFTHCK_AVD,abundance,sigma,omega,N1995
Prioria_copaifera,Fabaceae:Cae,Prioria,copaifera,701.4,5176.425,647.33,6559.39,22.41721,203.8888889,229.6666667,1419,85.64611038,5.661,1419
Protium_tenuifolium,Burseraceae,Protium,tenuifolium,703.1,4700.633333,543.9125,5458.8875,0.098637333,187.0833333,196.3333333,2993,73.16326767,3.065,2939
Protium_panamense,Burseraceae,Protium,panamense,491.7,4173.625,386.6,3794.3,0.06396875,179.5833333,247.5,2985,71.18058284,2.197,3006
Protium_costaricense,Burseraceae,Protium,costaricense,469.2375,2979.2375,362.125,3341.05,,,,815,31.78772872,1.912,820
Protium_confusum,Burseraceae,Protium,confusum,554.0272727,3495.872727,,,,,,3,68.52888832,,
Pseudobombax_septenatum,Malvaceae,Pseudobombax,septenatum,312.36,1598.68,428.94,2994.02,0.031995,185.2777778,241,17,47.30418181,0,17
Psidium_friedrichsthalianum,Myrtaceae,Psidium,friedrichsthalianum,401.9666667,2394.622222,350.9833333,2593.7,0.0058,164.5238095,243.0555556,53,58.87897182,,
Psychotria_pittieri,Rubiaceae,Psychotria,pittieri,195.7333333,1156.466667,,,0.0023,200,,3,500,0,3
Psychotria_racemosa,Rubiaceae,Psychotria,racemosa,128.1,1749.15,,,0.003493333,150,,,,,
Psychotria_deflexa,Rubiaceae,Psychotria,deflexa,293.6375,2305.375,,,0.002618,177.2916667,,30,135.7647919,10.85,30
Psychotria_horizontalis,Rubiaceae,Psychotria,horizontalis,244,2162.62,,,0.00422,188.5416667,,4864,83.91768836,3.337,4864
Psychotria_limonensis,Rubiaceae,Psychotria,limonensis,449.1555556,1880.211111,,,0.006614,203.1666667,,22,10.33605404,78.92,22
Psychotria_marginata,Rubiaceae,Psychotria,marginata,298.65,2585.016667,,,0.007696,186.6666667,,632,108.1306101,8.103,632
Psychotria_chagrensis,Rubiaceae,Psychotria,chagrensis,285.87,2982.62,,,0.009738,293.1666667,,9,500,0,9
Psychotria_acuminata,Rubiaceae,Psychotria,acuminata,324.78,2503.94,,,0.010628,108.0555556,,12,101.224171,22.105,12
Psychotria_grandis,Rubiaceae,Psychotria,grandis,254.1785714,2370.157143,,,0.022224,223.1481481,,66,24.07905357,36.162,66
Psychotria_brachiata,Rubiaceae,Psychotria,brachiata,,,,,,,,1,0,,
Psychotria_graciliflora,Rubiaceae,Psychotria,graciliflora,228.8,970.9666667,,,,,,57,17.74135105,240.03,57
Psychotria_tenuifolia,Rubiaceae,Psychotria,tenuifolia,368.5,2083.35,,,0.007944,211.6666667,,1,0,,
Pterocarpus_rohrii,Fabaceae:Pap,Pterocarpus,rohrii,322.9153846,2798.484615,493.5,1870.1,0.074368,132.9761905,196.6666667,1608,80.44833085,1.444,1608
Pterocarpus_belizensis,Fabaceae:Pap,Pterocarpus,belizensis,,,,,,,,4,500,0,4
Quararibea_asterolepis,Malvaceae,Quararibea,asterolepis,436.55,2613.35,482.4909091,3103.081818,0.242559091,180,216.9444444,2291,81.88776511,1.924,2291
Quassia_amara,Simaroubaceae,Quassia,amara,374.3545455,3014.272727,,,0.15068,175.9027778,,142,83.88520673,6.047,142
Randia_armata,Rubiaceae,Randia,armata,373.0769231,2287.392308,293.975,1985.575,0.085212,166.4285714,189.7222222,1108,145.9249686,1.394,1108
Rauvolfia_littoralis,Apocynaceae,Rauvolfia,littoralis,332.4,1060.95,,,,,,,,,
Rinorea_sylvatica,Violaceae,Rinorea,sylvatica,480.2444444,2193.088889,,,,,,2426,10.85269144,10.369,2426
Rosenbergiodendron_formosum,Rubiaceae,Rosenbergiodendron,formosum,235.2,1537.7,,,0.03848125,150,,4,500,,
Sapium_glandulosum,Euphorbiaceae,Sapium,glandulosum,250.05,2134.9,334.9,3806.85,0.008956667,218.75,312.2222222,34,500,,
Sapium_broadleaf,Euphorbiaceae,Sapium,broadleaf,509.5,2079.5,,,,,,3,84.31835407,,
Schizolobium_parahyba,Fabaceae:Cae,Schizolobium,parahyba,355.3111111,3921.977778,,,,,,17,59.34983528,0,17
Senna_dariensis,Fabaceae:Cae,Senna,dariensis,728.3,4144.25,,,,,,74,500,9.751,73
Simarouba_amara,Simaroubaceae,Simarouba,amara,217.63,2635.49,382.3857143,3483.442857,0.11114,211.8055556,371.25,1239,109.2699748,2.236,1239
Siparuna_guianensis,Monimiaceae,Siparuna,guianensis,386.4,3551.2,,,0.006053,217.9166667,,31,82.07456066,6.804,31
Siparuna_pauciflora,Monimiaceae,Siparuna,pauciflora,285.0833333,1764.35,,,,,,257,56.3347479,1.706,257
Sloanea_terniflora,Elaeocarpace,Sloanea,terniflora,533.0769231,3736.530769,760.1,3379.328571,0.0289,147.7380952,232.9166667,541,67.86694459,1.915,541
Socratea_exorrhiza,Arecaceae,Socratea,exorrhiza,,,,,3.321634,,,673,94.467137,6.818,673
Solanum_circinatum,Solanaceae,Solanum,circinatum,213.2888889,2242.577778,,,,,,1,0,,
Solanum_asperum,Solanaceae,Solanum,asperum,,,202.375,1713.925,,,,5,500,0,5
Solanum_hayesii,Solanaceae,Solanum,hayesii,200.85,2102.15,,,,,,42,500,9.147,42
Sorocea_affinis,Moraceae,Sorocea,affinis,401.575,3588.075,,,0.077688,170,,3114,14.34078089,1.436,3114
Spachea_membranacea,Malpighiaceae,Spachea,membranacea,364.75,4213.508333,498.15,6529.7,0.00947,211.1111111,226.6666667,15,5.430145705,657.9,15
Spondias_mombin,Anacardiaceae,Spondias,mombin,248,2813.025,372.8181818,4314.445455,0.024264,192.5,270.952381,110,30.60596295,117.26,99
Spondias_radlkoferi,Anacardiaceae,Spondias,radlkoferi,188.9222222,1472.533333,228.7714286,2328.8,0.03849,187.5,206.25,205,36.40358404,3.388,216
Stemmadenia_grandiflora,Apocynaceae,Stemmadenia,grandiflora,192.3,1009.6,,,0.021336111,173.3333333,,,,,
Sterculia_apetala,Malvaceae,Sterculia,apetala,321.5333333,3101.533333,641.1333333,4374.566667,0.748787798,145.8333333,353.75,60,500,0,60
Stylogyne_turbacensis,Primulaceae,Stylogyne,turbacensis,503.3666667,2420.616667,,,0.0359,289,,714,500,,
Swartzia_simplex_var_ochnacea,Fabaceae:Pap,Swartzia,simplex_var_ochnacea,649.5631579,6297.305263,443.7,4463.2,0.826968333,188.5833333,178.75,2886,37.85256321,,
Swartzia_simplex_var_grandiflora,Fabaceae:Pap,Swartzia,simplex_var_grandiflora,545.2066667,5170.38,602.45,6398.3,,,,2595,121.3875096,,
Symphonia_globulifera,Clusiaceae,Symphonia,globulifera,328.8166667,4005.15,230.4,3315.57,1.783631818,242.1428571,300.6666667,168,42.51708428,7.637,168
Tabebuia_guayacan,Bignoniaceae,Tabebuia,guayacan,164.85,2151.3,384.4416667,3503.35,,,,75,13.73515477,6.875,75
Tabebuia_rosea,Bignoniaceae,Tabebuia,rosea,410.45,2530.95,651.95,3418.15,0.034945968,192.5,231.0416667,269,18.89617941,2.586,269
Tabernaemontana_arborea,Apocynaceae,Tabernaemontana,arborea,190.65,2003.3,193.3666667,2365.1,0.0674725,199.1666667,243,1502,162.5462833,1.479,1502
Tachigali_versicolor,Fabaceae:Cae,Tachigali,versicolor,466.94,3865.6,702.4166667,5566.366667,0.102136585,133.75,193.8888889,2947,45.98477704,,
Talisia_nervosa,Sapindaceae,Talisia,nervosa,720.4583333,5980,,,0.449152,160.8333333,,781,92.87292468,8.014,782
Terminalia_amazonia,Combretaceae,Terminalia,amazonia,382.6076923,3114.692308,355,2469.3625,,,,54,41.0985245,13.78,53
Terminalia_oblonga,Combretaceae,Terminalia,oblonga,404.3916667,2767.425,453.1166667,2754.266667,0.00585,126.3888889,193.0555556,90,40.48473919,10.557,91
Tetragastris_panamensis,Burseraceae,Tetragastris,panamensis,643.96,4909.96,999.05,6021.2,0.233686111,177.2222222,222.5,4118,46.9786808,2.188,4139
Theobroma_cacao,Malvaceae,Theobroma,cacao,538.05,3418.45,,,0.981755,164.375,,20,500,8.159,20
Thevetia_ahouai,Apocynaceae,Thevetia,ahouai,215.98,2865.34,241.525,3001.45,0.285662,304.6296296,367.0833333,84,7.607647711,180.81,84
Tocoyena_pittieri,Rubiaceae,Tocoyena,pittieri,332.8,1475.133333,320.1,1544.35,0.715545,168.125,196.6666667,7,500,0,7
Trattinnickia_aspera,Burseraceae,Trattinnickia,aspera,343.9,2781.1,458.1111111,4081.222222,0.007533333,240,315.8333333,68,4.790509653,,
Trema_micrantha,Ulmaceae,Trema,micrantha,151.75,785.1,166.3083333,1487.116667,0.000527778,157.5,201.4285714,23,3.775157964,80.92,23
Trichanthera_gigantea,Acanthaceae,Trichanthera,gigantea,347.25,2944.916667,,,,,,11,18.48536626,,
Trichilia_pallida,Meliaceae,Trichilia,pallida,384.7411765,2856.994118,552.15,3238.65,0.064818,164.2708333,170.5555556,567,141.0349407,1.921,567
Trichilia_tuberculata,Meliaceae,Trichilia,tuberculata,340.51,2444.08,373.2375,2500.4125,0.116969286,179,240,12820,117.5256204,1.922,12820
Trichospermum_galeottii,Malvaceae,Trichospermum,galeottii,,,457.4,2434,0.000639583,,248.3333333,1,0,,
Triplaris_cumingiana,Polygonaceae,Triplaris,cumingiana,398.75,2324.11,526.0555556,3320.211111,0.04614,127.2222222,190.1388889,292,87.54464211,3.516,292
Trophis_caucana,Moraceae,Trophis,caucana,518.16,3151.18,389.6,3141.8,0.020671429,174.2424242,227.5,213,57.58354527,,
Trophis_racemosa,Moraceae,Trophis,racemosa,449.0125,3342.6625,378.1666667,2915.366667,,,,311,70.38249565,1.862,311
Turpinia_occidentalis,Staphyleaceae,Turpinia,occidentalis,278.4857143,2268.885714,327.1,2697.6875,0.004135,175.4166667,271.25,79,17.07242236,6.713,79
Unonopsis_pittieri,Annonaceae,Unonopsis,pittieri,316.075,2797.7,488.0333333,3431.733333,0.597169565,171.25,200,716,33.76752873,2.592,716
Urera_baccifera,Urticaceae,Urera,baccifera,144.66,1061.5,,,,,,11,0.037006534,473.52,11
Virola_sebifera,Myristicaceae,Virola,sebifera,286.4285714,2101.278571,387.2,2021.55,0.330892857,197.0238095,293.1333333,1867,30.20069706,1.756,1867
Virola_multiflora,Myristicaceae,Virola,multiflora,398.9,2079.2,338.1777778,2111.111111,0.664383333,214,305,51,55.59269976,,
Virola_surinamensis,Myristicaceae,Virola,surinamensis,409.62,2154.4,307.4142857,2178.757143,1.580256,171.8333333,252.0833333,221,30.28625274,2.938,221
Vismia_baccifera,Clusiaceae,Vismia,baccifera,352.78125,2574.26875,307.0875,2666.5375,,,,71,41.63389361,72.218,71
Vismia_billbergiana,Clusiaceae,Vismia,billbergiana,305.5666667,2176.366667,,,,,,2,0.042105098,0,2
Vochysia_ferruginea,Vochysiaceae,Vochysia,ferruginea,463.1181818,2880.263636,409.6666667,3395,0.011580467,219.8809524,294.4444444,25,30.62587183,10.297,25
Xylopia_macrantha,Annonaceae,Xylopia,macrantha,565.81,4089.37,616.75,4067.475,0.129811458,189.6875,227.5,1133,80.19693358,6.24,1133
Xylosma_oligandra,Salicaceae,Xylosma,oligandra,260.175,2309.15,,,,,,121,72.57257995,7.215,121
Zanthoxylum_panamense,Rutaceae,Zanthoxylum,panamense,237.5,2397.941667,279.9125,2860.3375,0.0013,164.3055556,296.5,184,63.77441519,6.966,185
Zanthoxylum_ekmanii,Rutaceae,Zanthoxylum,ekmanii,237.65,2915.85,333.6142857,2564.185714,,,,205,84.87645407,,
Zanthoxylum_setulosum,Rutaceae,Zanthoxylum,setulosum,,,270.15,2619.8,,,,1,0,,
Zuelania_guidonia,Salicaceae,Zuelania,guidonia,416.9666667,2365.911111,348.45,2673.65,0.009639286,213.3333333,289.5833333,,,7.015,43
